a ,b,c
SVC,0.69,"['free sulfur dioxide', 'pH', 'alcohol', 'citric acid', 'chlorides']"
LogisticRegression,0.69,"['free sulfur dioxide', 'sulphates', 'alcohol', 'citric acid', 'chlorides']"
RandomForestClassifier,0.69,"['free sulfur dioxide', 'sulphates', 'alcohol', 'citric acid', 'chlorides']"
LogisticRegression,0.69,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.69,"['free sulfur dioxide', 'alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.69,"['free sulfur dioxide', 'residual sugar', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.69,"['pH', 'sulphates', 'alcohol', 'residual sugar', 'citric acid']"
LogisticRegression,0.69,"['pH', 'sulphates', 'alcohol', 'residual sugar', 'chlorides']"
SVC,0.69,"['pH', 'sulphates', 'alcohol', 'citric acid', 'chlorides']"
RandomForestClassifier,0.69,"['pH', 'sulphates', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.69,"['pH', 'alcohol', 'residual sugar', 'density', 'chlorides']"
SVC,0.69,"['pH', 'alcohol', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.69,"['sulphates', 'alcohol', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.69,"['sulphates', 'alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.69,"['sulphates', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.69,"['alcohol', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.69,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'residual sugar', 'chlorides']"
LogisticRegression,0.69,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.69,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.69,"['free sulfur dioxide', 'sulphates', 'alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.69,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.69,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.69,"['pH', 'sulphates', 'alcohol', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.69,"['sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.69,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.69,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.685,['residual sugar']
LogisticRegression,0.685,"['sulphates', 'residual sugar']"
LogisticRegression,0.685,"['alcohol', 'residual sugar']"
LogisticRegression,0.685,"['residual sugar', 'citric acid']"
LogisticRegression,0.685,"['free sulfur dioxide', 'alcohol', 'residual sugar']"
LogisticRegression,0.685,"['free sulfur dioxide', 'residual sugar', 'citric acid']"
LogisticRegression,0.685,"['sulphates', 'alcohol', 'residual sugar']"
RandomForestClassifier,0.685,"['sulphates', 'alcohol', 'chlorides']"
LogisticRegression,0.685,"['sulphates', 'residual sugar', 'citric acid']"
LogisticRegression,0.685,"['alcohol', 'residual sugar', 'citric acid']"
LogisticRegression,0.685,"['alcohol', 'residual sugar', 'density']"
LogisticRegression,0.685,"['residual sugar', 'citric acid', 'density']"
RandomForestClassifier,0.685,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.685,"['free sulfur dioxide', 'pH', 'sulphates', 'chlorides']"
